[2025-03-28T00:56:32.727347044Z] [Objectname:/aws-opendata/us-west-2/ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-TREFHT.zarr/TREFHT/22.32.0.0] [Host:47.12.110.161] [Server:10.129.175.98] [Read:8388608] [Write:0]
[2025-03-26T22:53:02.418810317Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/.zmetadata] [Host:128.117.208.98] [Server:127.0.0.1] [Read:3883] [Write:0]
[2025-03-27T04:36:29.942117202Z] [Objectname:/ncar/rda/ds336.0/surface/201701/20170131/Surface_METAR_20170131_0000.nc] [Host:N/A] [Server:128.117.251.131] [Read:8388608] [Write:0]
[2025-03-26T22:53:02.438781796Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/time/0] [Host:128.117.208.98] [Server:127.0.0.1] [Read:1830] [Write:0]
[2025-03-26T22:53:02.441924174Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/time/0] [Host:128.117.208.98] [Server:127.0.0.1] [Read:1830] [Write:0]
[2025-03-26T22:53:02.438205853Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/time/0] [Host:128.117.208.98] [Server:127.0.0.1] [Read:1830] [Write:0]
[2025-03-26T22:53:02.441888154Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/longitude/0] [Host:128.117.208.98] [Server:127.0.0.1] [Read:903] [Write:0]
[2025-03-26T22:53:02.439673503Z] [Objectname:/ncar/rda/harshah/era5_tas/zarr/e5_tas2m_daily_1940_2023.zarr/latitude/0] [Host:128.117.208.98] [Server:127.0.0.1] [Read:727] [Write:0]
[2025-03-27T03:21:59.304378623Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5065] [Write:0]
[2025-03-27T20:34:24.037300696Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/.zmetadata] [Host:N/A] [Server:127.0.0.1] [Read:5065] [Write:0]
[2025-03-27T20:33:12.037813356Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/.zmetadata] [Host:N/A] [Server:10.129.173.27] [Read:5147] [Write:0]
[2025-03-26T22:46:45.012134942Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-ssp370-smbb-TREFHTMX.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5059] [Write:0]
[2025-03-26T22:30:12.128984479Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-historical-cmip6-TREFHT.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5030] [Write:0]
[2025-03-26T22:30:45.042067611Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-ssp370-cmip6-TREFHT.zarr/.zmetadata] [Host:128.117.208.174] [Server:127.0.0.1] [Read:5058] [Write:0]
[2025-03-27T21:04:48.835466350Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/.zmetadata] [Host:128.104.153.58] [Server:127.0.0.1] [Read:5147] [Write:0]
[2025-03-27T21:04:48.835586345Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/.zmetadata] [Host:128.104.153.58] [Server:127.0.0.1] [Read:5033] [Write:0]
[2025-03-27T20:34:24.037161552Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/.zmetadata] [Host:N/A] [Server:127.0.0.1] [Read:5147] [Write:0]
[2025-03-27T20:34:24.037448114Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/.zmetadata] [Host:N/A] [Server:127.0.0.1] [Read:5033] [Write:0]
[2025-03-27T03:20:58.994388334Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5033] [Write:0]
[2025-03-27T20:33:12.040224309Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/.zmetadata] [Host:N/A] [Server:10.129.173.27] [Read:5065] [Write:0]
[2025-03-27T20:33:12.042052800Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/.zmetadata] [Host:N/A] [Server:10.129.173.27] [Read:5033] [Write:0]
[2025-03-26T22:46:01.580408963Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-ssp370-cmip6-TREFHTMX.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5092] [Write:0]
[2025-03-26T22:47:01.670928661Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-historical-smbb-TREFHTMX.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5059] [Write:0]
[2025-03-26T22:47:01.721617614Z] [Objectname:/ncar/rda/d010092/atm/daily/cesm2LE-historical-cmip6-TREFHTMX.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5064] [Write:0]
[2025-03-26T22:38:50.024298984Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/.zmetadata] [Host:128.117.208.98] [Server:127.0.0.1] [Read:5033] [Write:0]
[2025-03-26T22:38:50.026034943Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/.zmetadata] [Host:128.117.208.98] [Server:127.0.0.1] [Read:5065] [Write:0]
[2025-03-26T22:38:50.035850519Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/.zmetadata] [Host:128.117.208.98] [Server:127.0.0.1] [Read:5147] [Write:0]
[2025-03-27T21:04:48.840523023Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/.zmetadata] [Host:128.104.153.58] [Server:127.0.0.1] [Read:5065] [Write:0]
[2025-03-27T03:21:59.293127783Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/.zmetadata] [Host:128.117.208.173] [Server:127.0.0.1] [Read:5147] [Write:0]
[2025-03-27T03:46:58.552647241Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/6.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:75497472] [Write:0]
[2025-03-27T03:46:58.552594565Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/4.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:75497472] [Write:0]
[2025-03-27T03:48:58.462510338Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/47.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85479970] [Write:0]
[2025-03-27T03:33:59.100590852Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/23.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85391368] [Write:0]
[2025-03-27T03:21:59.304405495Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/time/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T03:21:59.304550425Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/member_id/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:246] [Write:0]
[2025-03-27T03:21:59.304750365Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/time/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T03:21:59.293267998Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/time_bound/0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:4326] [Write:0]
